metric,method,band,n_complete_seizures,n_subjects,model_type,slope_per_minute,statistic,p_uncorrected,p_fdr_bh,skip_reason,fallback_reason
global_efficiency,aec,theta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.00048941782167764,1.7367094734647186,0.08243846474657496,0.5187459703763483,,
global_efficiency,coherence,alpha1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.00047044116722480745,1.841115052385372,0.06560470029082167,0.5187459703763483,,
global_efficiency,coherence,alpha2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.000359917169125153,1.4049976637134896,0.16002197299685272,0.5955902468039963,,
global_efficiency,coherence,beta1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.00034949491826457104,1.576665372070209,0.11487254215960108,0.5704015886545709,,
global_efficiency,coherence,beta2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0005826461735647591,2.640520119253522,0.00827788774949152,0.1986693059877965,,
global_efficiency,coherence,delta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0007590829223752169,2.1628540785013626,0.030552404698458588,0.34776139775152204,,
global_efficiency,coherence,theta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0008780886513716659,2.897694072105849,0.003759170791480071,0.1986693059877965,,
global_efficiency,wpli,alpha1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0013212476496150035,-2.4218762691826425,0.01544060683035274,0.24704970928564388,,
global_efficiency,wpli,alpha2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0006990094776474119,1.1493851080121935,0.2503972179450331,0.6727203453817511,,
global_efficiency,wpli,beta1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0009399001347678757,-2.1223288086306886,0.033810135892509086,0.34776139775152204,,
global_efficiency,wpli,beta2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0004905646848145952,-1.065069038597118,0.2868446889479531,0.6727203453817511,,
global_efficiency,wpli,delta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-6.11597215610904e-05,-0.11203513691781047,0.910795546708586,0.9374566289872778,,
global_efficiency,wpli,theta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0003676483463779492,-0.7147515846560807,0.47476255655786637,0.7431066102644865,,
mean_betweenness_centrality,aec,alpha1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.00011208218755388383,0.38352887180037376,0.7013276672243329,0.867270048217715,,
mean_betweenness_centrality,aec,alpha2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,4.197409857787034e-05,0.15509385765119446,0.8767473244784069,0.9374566289872778,,
mean_betweenness_centrality,aec,beta1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0004896221877353988,-1.625382339631859,0.10408111653073941,0.5704015886545709,,
