metric,method,band,n_complete_seizures,n_subjects,model_type,test_name,statistic,df1,df2,p_uncorrected,p_fdr_bh,effect_size,skip_reason,fallback_reason
mean_betweenness_centrality,coherence,delta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,8.171052529245335,3.0,,0.042605729679142994,0.28691574931329566,,,
mean_betweenness_centrality,coherence,theta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,6.700747641853184,3.0,,0.08207297731652743,0.38124221721225643,,,
mean_betweenness_centrality,wpli,alpha1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,1.7427023674569302,3.0,,0.6274821815771869,0.8289672857533479,,,
mean_betweenness_centrality,wpli,alpha2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,0.5824954142420068,3.0,,0.9004276932708005,0.9395670141843885,,,
mean_betweenness_centrality,wpli,beta1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,1.2115274105203337,3.0,,0.7502409109912552,0.876353775755543,,,
mean_betweenness_centrality,wpli,beta2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,4.945788825863156,3.0,,0.17581006527281207,0.5237584431853034,,,
mean_betweenness_centrality,wpli,delta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,8.680216245838281,3.0,,0.03385905513011344,0.2708724410409075,,,
mean_betweenness_centrality,wpli,theta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,2.757050394842161,3.0,,0.4306190743394279,0.6770298874729298,,,
mean_connectivity,aec,alpha1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,1.2817648571360807,3.0,,0.7334676789369636,0.865732342351826,,,
mean_connectivity,aec,alpha2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,2.602359701998151,3.0,,0.45707601081312055,0.6782369317444147,,,
mean_connectivity,aec,beta1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,3.697740658719135,3.0,,0.2960067586490757,0.6008903696598039,,,
mean_connectivity,aec,beta2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,7.913833606777913,3.0,,0.04782647937534023,0.2994353491325649,,,
mean_connectivity,aec,delta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,1.3416186330831505,3.0,,0.719274837810087,0.8655765730265133,,,
mean_connectivity,aec,theta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,1.6918296061767635,3.0,,0.6387517864998018,0.8297147445545856,,,
mean_connectivity,coherence,alpha1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,1.3367943574181076,3.0,,0.7204149848107905,0.8655765730265133,,,
