metric,method,band,contrast,n_pairs,n_subjects,mean_baseline,mean_comparison,mean_difference,t,t_df,t_p_uncorrected,t_p_fdr_bh,cohen_dz,wilcoxon_statistic,wilcoxon_p_uncorrected,wilcoxon_p_fdr_bh,omnibus_p_fdr_bh,interpret_posthoc,skip_reason
characteristic_path_length,aec,alpha1,Baseline_vs_T2,155,24,4.375659881813989,4.395227485412572,0.019567603598583377,0.3868646924582178,154.0,0.6993904404434638,0.8992162805701677,0.031073719865236132,5639.0,0.4682622344421119,0.772096508698444,0.9428509799203584,False,
characteristic_path_length,aec,alpha2,Baseline_vs_T0,155,24,5.982321591893892,5.948375025515999,-0.03394656637789296,-0.42676954146012935,154.0,0.6701432076760835,0.8961471248397574,-0.03427895446876323,5565.0,0.3911638300238176,0.7070408977836368,0.9621584415004077,False,
characteristic_path_length,aec,alpha2,Baseline_vs_T1,155,24,5.982321591893892,5.977675325984316,-0.004646265909576332,-0.05176242173195679,154.0,0.9587850792749598,0.9840473437859638,-0.004157657764591046,5902.0,0.7983631063528682,0.9228944326867186,0.9621584415004077,False,
characteristic_path_length,aec,alpha2,Baseline_vs_T2,155,24,5.982321591893892,5.993945547282299,0.011623955388407412,0.12814647443743954,154.0,0.8982002495328351,0.9768139687654421,0.01029297251988614,5890.0,0.7818539450190662,0.9178285441528169,0.9621584415004077,False,
characteristic_path_length,aec,beta1,Baseline_vs_T0,155,24,10.23048797709805,10.84068303082358,0.6101950537255293,2.535832161860144,154.0,0.012214513199927139,0.2914100854130139,0.2036829407258678,4812.0,0.027614110708554056,0.3586663761222973,0.25373789873267977,False,
characteristic_path_length,aec,beta1,Baseline_vs_T1,155,24,10.23048797709805,10.751587381527782,0.5210994044297286,2.1872833096962787,154.0,0.03022998547217952,0.3264838430995388,0.17568682321338816,4924.0,0.04521594105152838,0.3586663761222973,0.25373789873267977,False,
characteristic_path_length,aec,beta1,Baseline_vs_T2,155,24,10.23048797709805,10.577996786559472,0.3475088094614214,1.5290162337294624,154.0,0.12831185731672684,0.5094949493462423,0.12281353931372054,5065.0,0.07998952538605573,0.4160114403381392,0.25373789873267977,False,
characteristic_path_length,aec,beta2,Baseline_vs_T0,155,24,11.963330909644531,12.521351599660148,0.5580206900156153,1.8138318865369207,154.0,0.0716503289305473,0.4293646061670533,0.14569048306461388,5272.0,0.16729549085912987,0.5392621432203869,0.5141042116065346,False,
characteristic_path_length,aec,beta2,Baseline_vs_T1,155,24,11.963330909644531,12.534069382150774,0.5707384725062399,1.7611251013338183,154.0,0.0802019333549016,0.4313431063702626,0.1414569722006695,5700.0,0.5376738720769171,0.816788232136703,0.5141042116065346,False,
characteristic_path_length,aec,beta2,Baseline_vs_T2,155,24,11.963330909644531,12.353169771257422,0.38983886161288833,1.1678549660709552,154.0,0.24467016970655384,0.6363349266523315,0.09380436821029632,5500.0,0.33024047084130304,0.6793518257306805,0.5141042116065346,False,
characteristic_path_length,aec,delta,Baseline_vs_T0,155,24,4.350686502705345,4.36008312129568,0.009396618590333677,0.10531731803412626,154.0,0.9162610728391625,0.977443298599914,0.008459290551318195,5549.0,0.3755678008107324,0.6942416943716748,0.9929465472003088,False,
characteristic_path_length,aec,delta,Baseline_vs_T1,155,24,4.350686502705345,4.336535499281133,-0.0141510034242118,-0.17065911064857098,154.0,0.8647158272161438,0.9753452672516295,-0.013707669632624249,5621.0,0.4487707374403511,0.7485287975839061,0.9929465472003088,False,
characteristic_path_length,aec,delta,Baseline_vs_T2,155,24,4.350686502705345,4.342377616946765,-0.008308885758581415,-0.10217954546852875,154.0,0.9187470888203265,0.977443298599914,-0.008207258593879403,5683.0,0.5178232432149551,0.8046749678735994,0.9929465472003088,False,
characteristic_path_length,aec,theta,Baseline_vs_T0,155,24,6.481240575018039,6.2310789120785195,-0.2501616629395197,-1.7894465164739703,154.0,0.0755081767450888,0.4293646061670533,-0.1437318030069137,5106.0,0.09344449173328855,0.4436046200964907,0.38124221721225643,False,
characteristic_path_length,aec,theta,Baseline_vs_T1,155,24,6.481240575018039,6.46323308806478,-0.0180074869532582,-0.1230901146667956,154.0,0.9021962350403042,0.9768139687654421,-0.009886835929719518,5911.0,0.8108048623417949,0.9315630333288708,0.38124221721225643,False,
characteristic_path_length,aec,theta,Baseline_vs_T2,155,24,6.481240575018039,6.528464469962128,0.04722389494409017,0.3321759942241789,154.0,0.7402080552464818,0.9046958313206618,0.026681017915826534,6038.0,0.9900224466120051,0.9900224466120051,0.38124221721225643,False,
