metric,method,band,window,n,mean,std,median,min,max,sem,ci95_lower,ci95_upper
characteristic_path_length,wpli,theta,Baseline,155,7.940886370121803,3.3273263618005493,7.846289598681695,2.041733346518291,16.94530303121187,0.267257284736503,7.412922795648707,8.4688499445949
characteristic_path_length,wpli,theta,T0,159,7.346052515674478,3.0781691627344054,7.081936349658219,2.2658385692654672,15.67199657708332,0.2441146935615212,6.863903519588577,7.828201511760378
characteristic_path_length,wpli,theta,T1,159,7.308306655416621,2.9865076414579916,7.311433660871244,2.2657747151543925,15.507385358415018,0.2368454620817615,6.840515060801104,7.776098250032139
characteristic_path_length,wpli,theta,T2,159,7.32512879553666,2.8892300906457553,6.980375358151609,2.4710161202866896,14.269437979305296,0.22913085048911935,6.872574269121823,7.777683321951497
clustering_coefficient,aec,alpha1,Baseline,155,0.2472305931739631,0.060494659679333145,0.2450370840195147,0.1094389031528079,0.3980765323938061,0.0048590479949819024,0.23763160188548882,0.25682958446243737
clustering_coefficient,aec,alpha1,T0,159,0.23840255013356307,0.05603490208520019,0.2353310763859607,0.118701868980261,0.3706988122144729,0.0044438567954228955,0.2296255238046556,0.24717957646247055
clustering_coefficient,aec,alpha1,T1,159,0.24271654652949395,0.05905499138413118,0.2372373168647494,0.1174848957362139,0.4062418654892332,0.004683365456175657,0.2334664685433878,0.2519666245156001
clustering_coefficient,aec,alpha1,T2,159,0.245523863753418,0.05115459771356736,0.2466341242827649,0.1327512665095981,0.3835793835819796,0.0040568234833518345,0.23751126385105756,0.2535364636557784
clustering_coefficient,aec,alpha2,Baseline,155,0.19390677799467448,0.046636192528946616,0.1842191932425921,0.1132481365331671,0.3496001316308684,0.003745909126566823,0.1865067792479107,0.20130677674143826
clustering_coefficient,aec,alpha2,T0,159,0.19622555332872701,0.05307180512528602,0.1912610054859711,0.0987360482109892,0.3900316239269957,0.00420886792115324,0.18791265166256504,0.20453845499488899
clustering_coefficient,aec,alpha2,T1,159,0.19529006539634677,0.05198679721397928,0.1864043098760037,0.1114182105976732,0.3398607033325297,0.004122821196695386,0.18714711393354436,0.2034330168591492
clustering_coefficient,aec,alpha2,T2,159,0.19887871859470785,0.055085860921574165,0.18961887390952,0.1077964967515597,0.4147606280686057,0.004368592935450354,0.19025034531899385,0.20750709187042185
