metric,method,band,n_subjects_complete,model_type,test_name,statistic,df1,df2,p_uncorrected,p_fdr_bh,effect_size,skip_reason,fallback_reason
modularity,aec,theta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,3.313800848796874,3.0,,0.3457264379147983,0.8868612121862072,,,
modularity,coherence,alpha1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.4687648442189333,3.0,,0.9256980549886707,0.996861179388722,,,
modularity,coherence,alpha2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.534736408064379,3.0,,0.6742767004301023,0.9576837692929063,,,
modularity,coherence,beta1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,2.564910353253164,3.0,,0.4636744494481263,0.9346311268387354,,,
modularity,coherence,beta2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,9.483026312453282,3.0,,0.02351261923737409,0.26334133545858984,,,
modularity,coherence,delta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.24779525366803107,3.0,,0.9695278680130409,0.996861179388722,,,
modularity,coherence,theta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,4.087049323885805,3.0,,0.25221649836865495,0.8754429249632198,,,
modularity,wpli,alpha1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.5681542175342854,3.0,,0.9036824362627519,0.996861179388722,,,
modularity,wpli,alpha2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,3.149080572580897,3.0,,0.3692060974653827,0.8989365851331057,,,
modularity,wpli,beta1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,8.224326783248134,3.0,,0.04159606537077683,0.42352357468427315,,,
modularity,wpli,beta2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,6.199140669788073,3.0,,0.10231348850156584,0.680163046486138,,,
modularity,wpli,delta,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,0.44298566577281495,3.0,,,,0.018896298965006924,,mixed model failed: Singular matrix
modularity,wpli,theta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.4450869357253694,3.0,,0.9307788932994194,0.996861179388722,,,
small_worldness,aec,alpha1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.7978111285297282,3.0,,0.6154113745801608,0.9476113964414254,,,
small_worldness,aec,alpha2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,6.0477109080743405,3.0,,0.10931191818527218,0.680163046486138,,,
small_worldness,aec,beta1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,2.4768808833506615,3.0,,0.4794837181491779,0.9346311268387354,,,
small_worldness,aec,beta2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,5.484794517796454,3.0,,0.1395509074642673,0.7814850817998968,,,
small_worldness,aec,delta,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,0.2193217279788449,3.0,,,,0.009445656102631384,,mixed model failed: Singular matrix
small_worldness,aec,theta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,4.387315080785804,3.0,,0.22256445998583968,0.8595592937384153,,,
small_worldness,coherence,alpha1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.963541729523971,3.0,,0.5800081324664734,0.9346311268387354,,,
small_worldness,coherence,alpha2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.4801740998917697,3.0,,0.9232249800899759,0.996861179388722,,,
small_worldness,coherence,beta1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.112291888531385,3.0,,0.7741076321717295,0.996861179388722,,,
small_worldness,coherence,beta2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,4.7559785013949005,3.0,,0.190562821693242,0.8537214411857242,,,
small_worldness,coherence,delta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,15.341004033276926,3.0,,0.0015472529211232808,0.08664616358290372,,,
small_worldness,coherence,theta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,9.84605622635404,3.0,,0.019921077252246372,0.26334133545858984,,,
small_worldness,wpli,alpha1,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,1.2037824725637727,3.0,,,,0.049735303724875314,,mixed model failed: Singular matrix
small_worldness,wpli,alpha2,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,0.24115638442781953,3.0,,,,0.010376264435335953,,mixed model failed: Singular matrix
small_worldness,wpli,beta1,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,0.8426661133117224,3.0,,,,0.03534278043013189,,mixed model failed: Singular matrix
small_worldness,wpli,beta2,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,0.3091632225772454,3.0,,,,0.013263591645271503,,mixed model failed: Singular matrix
small_worldness,wpli,delta,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,1.7948279169250851,3.0,,,,0.07238718989858066,,mixed model failed: Singular matrix
small_worldness,wpli,theta,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,1.9679346816268408,3.0,,,,0.07881848085236243,,mixed model failed: Singular matrix
